Cluster = 0
Cluster = 1
Genus: photinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: triticum 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: clematis 	 NumberInCluster: 2 	 PercentageInCluster: 0.037736
Genus: allium 	 NumberInCluster: 1 	 PercentageInCluster: 0.006757
Genus: stachys 	 NumberInCluster: 4 	 PercentageInCluster: 0.095238
Genus: polycnemum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: polystichum 	 NumberInCluster: 1 	 PercentageInCluster: 0.033333
Genus: cytisus 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: scirpus 	 NumberInCluster: 1 	 PercentageInCluster: 0.050000
Genus: peucedanum 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: erodium 	 NumberInCluster: 2 	 PercentageInCluster: 0.095238
Genus: lactuca 	 NumberInCluster: 1 	 PercentageInCluster: 0.050000
Genus: phlomis 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: aruncus 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: prunus 	 NumberInCluster: 1 	 PercentageInCluster: 0.011494
Genus: scabiosa 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: hypericum 	 NumberInCluster: 1 	 PercentageInCluster: 0.014925
Genus: heliotropium 	 NumberInCluster: 1 	 PercentageInCluster: 0.029412
Genus: paeonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: geranium 	 NumberInCluster: 2 	 PercentageInCluster: 0.035714
Genus: helianthus 	 NumberInCluster: 2 	 PercentageInCluster: 0.024691
Genus: glyceria 	 NumberInCluster: 2 	 PercentageInCluster: 0.100000
Genus: crataegus 	 NumberInCluster: 24 	 PercentageInCluster: 0.123077
Genus: eupatorium 	 NumberInCluster: 3 	 PercentageInCluster: 0.066667
Genus: corema 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cerastium 	 NumberInCluster: 1 	 PercentageInCluster: 0.022222
Genus: sambucus 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: schizaea 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: sagittaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.030303
Genus: verbena 	 NumberInCluster: 2 	 PercentageInCluster: 0.036364
Genus: elodea 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: rhinanthus 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: sedum 	 NumberInCluster: 4 	 PercentageInCluster: 0.055556
Genus: hydrocharis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: erechtites 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: trifolium 	 NumberInCluster: 1 	 PercentageInCluster: 0.006711
Genus: schedonorus 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: isoetes 	 NumberInCluster: 3 	 PercentageInCluster: 0.056604
Genus: dryopteris 	 NumberInCluster: 2 	 PercentageInCluster: 0.040816
Genus: ononis 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: ornithopus 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: hosta 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: geum 	 NumberInCluster: 1 	 PercentageInCluster: 0.029412
Genus: taraxacum 	 NumberInCluster: 2 	 PercentageInCluster: 0.181818
Genus: abies 	 NumberInCluster: 1 	 PercentageInCluster: 0.055556
Genus: thymus 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: thalictrum 	 NumberInCluster: 1 	 PercentageInCluster: 0.033333
Genus: carya 	 NumberInCluster: 1 	 PercentageInCluster: 0.045455
Genus: prenanthes 	 NumberInCluster: 3 	 PercentageInCluster: 0.176471
Genus: melica 	 NumberInCluster: 1 	 PercentageInCluster: 0.035714
Genus: iberis 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: phellodendron 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: papaver 	 NumberInCluster: 1 	 PercentageInCluster: 0.037037
Genus: nicotiana 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: androsace 	 NumberInCluster: 1 	 PercentageInCluster: 0.066667
Genus: dianthus 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: verbascum 	 NumberInCluster: 3 	 PercentageInCluster: 0.176471
Genus: rubus 	 NumberInCluster: 29 	 PercentageInCluster: 0.112403
Genus: ecballium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: lavandula 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: atriplex 	 NumberInCluster: 1 	 PercentageInCluster: 0.008547
Genus: fumaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: salix 	 NumberInCluster: 1 	 PercentageInCluster: 0.005952
Genus: buxus 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: najas 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: leontodon 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: centaurea 	 NumberInCluster: 6 	 PercentageInCluster: 0.166667
Genus: phacelia 	 NumberInCluster: 2 	 PercentageInCluster: 0.008889
Genus: salvinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: helleborus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: eremopyrum 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: chenopodium 	 NumberInCluster: 1 	 PercentageInCluster: 0.013889
Genus: cypripedium 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: cruciata 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: helianthemum 	 NumberInCluster: 2 	 PercentageInCluster: 0.142857
Genus: inula 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: scrophularia 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: festuca 	 NumberInCluster: 1 	 PercentageInCluster: 0.016129
Genus: rumex 	 NumberInCluster: 1 	 PercentageInCluster: 0.013699
Genus: astragalus 	 NumberInCluster: 1 	 PercentageInCluster: 0.001626
Genus: asplenium 	 NumberInCluster: 2 	 PercentageInCluster: 0.019802
Genus: trillium 	 NumberInCluster: 1 	 PercentageInCluster: 0.020833
Genus: poa 	 NumberInCluster: 2 	 PercentageInCluster: 0.019231
Genus: serratula 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: rosa 	 NumberInCluster: 9 	 PercentageInCluster: 0.107143
Genus: euphorbia 	 NumberInCluster: 2 	 PercentageInCluster: 0.022727
Genus: streptopus 	 NumberInCluster: 1 	 PercentageInCluster: 0.076923
Genus: rhodiola 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: aegilops 	 NumberInCluster: 3 	 PercentageInCluster: 0.600000
Genus: spiranthes 	 NumberInCluster: 1 	 PercentageInCluster: 0.027778
