Cluster = 0
Genus: ocimum 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: hymenophyllum 	 NumberInCluster: 3 	 PercentageInCluster: 0.136364
Genus: senecio 	 NumberInCluster: 1 	 PercentageInCluster: 0.011628
Genus: achyranthes 	 NumberInCluster: 5 	 PercentageInCluster: 0.500000
Genus: ochrosia 	 NumberInCluster: 4 	 PercentageInCluster: 0.800000
Genus: osteomeles 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: trimezia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: senna 	 NumberInCluster: 5 	 PercentageInCluster: 0.098039
Genus: cardiospermum 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: piscidia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: ctenitis 	 NumberInCluster: 3 	 PercentageInCluster: 0.375000
Genus: dillenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: wilkesia 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: dicliptera 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: dissochondrus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hypericum 	 NumberInCluster: 3 	 PercentageInCluster: 0.044776
Genus: rorippa 	 NumberInCluster: 2 	 PercentageInCluster: 0.046512
Genus: geranium 	 NumberInCluster: 11 	 PercentageInCluster: 0.196429
Genus: tithonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: zinnia 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: casuarina 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: neonotonia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hydrocotyle 	 NumberInCluster: 1 	 PercentageInCluster: 0.076923
Genus: psidium 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: urochloa 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: veronica 	 NumberInCluster: 1 	 PercentageInCluster: 0.022727
Genus: alpinia 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: curcuma 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: labordia 	 NumberInCluster: 19 	 PercentageInCluster: 1.000000
Genus: hypoestes 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: zephyranthes 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: asparagus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: lellingeria 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: polygala 	 NumberInCluster: 1 	 PercentageInCluster: 0.012500
Genus: lantana 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: dovyalis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: rytidosperma 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: liparis 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: dissotis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: sapindus 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: dopatrium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bothriochloa 	 NumberInCluster: 1 	 PercentageInCluster: 0.058824
Genus: oplismenus 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: tournefortia 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: erythrina 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: schiedea 	 NumberInCluster: 31 	 PercentageInCluster: 1.000000
Genus: leonotis 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: crotalaria 	 NumberInCluster: 6 	 PercentageInCluster: 0.214286
Genus: vitex 	 NumberInCluster: 7 	 PercentageInCluster: 0.437500
Genus: lythrum 	 NumberInCluster: 1 	 PercentageInCluster: 0.066667
Genus: ruellia 	 NumberInCluster: 3 	 PercentageInCluster: 0.081081
Genus: heliocarpus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bruguiera 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: tetrazygia 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: paspalidium 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: iresine 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: corymbia 	 NumberInCluster: 3 	 PercentageInCluster: 0.750000
Genus: pisonia 	 NumberInCluster: 5 	 PercentageInCluster: 0.454545
Genus: thuarea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: begonia 	 NumberInCluster: 5 	 PercentageInCluster: 0.500000
Genus: hedychium 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: saccharum 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: nothoperanema 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: isodendrion 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: syncarpia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ischaemum 	 NumberInCluster: 3 	 PercentageInCluster: 0.750000
Genus: epidendrum 	 NumberInCluster: 1 	 PercentageInCluster: 0.043478
Genus: adenophorus 	 NumberInCluster: 12 	 PercentageInCluster: 1.000000
Genus: kanaloa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: falcataria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: melaleuca 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: cheirodendron 	 NumberInCluster: 9 	 PercentageInCluster: 1.000000
Genus: quercus 	 NumberInCluster: 1 	 PercentageInCluster: 0.004348
Genus: metrosideros 	 NumberInCluster: 15 	 PercentageInCluster: 1.000000
Genus: brighamia 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: athyrium 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: bobea 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
