Cluster = 0
Cluster = 1
Genus: oxytropis 	 NumberInCluster: 4 	 PercentageInCluster: 0.060606
Genus: alchemilla 	 NumberInCluster: 4 	 PercentageInCluster: 0.400000
Genus: chenopodium 	 NumberInCluster: 1 	 PercentageInCluster: 0.013889
Genus: sparganium 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: taraxacum 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: erodium 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: pseudorchis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: minuartia 	 NumberInCluster: 2 	 PercentageInCluster: 0.047619
Genus: pedicularis 	 NumberInCluster: 2 	 PercentageInCluster: 0.028571
Genus: rosa 	 NumberInCluster: 1 	 PercentageInCluster: 0.011905
Genus: rorippa 	 NumberInCluster: 1 	 PercentageInCluster: 0.023256
Genus: nemesia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: geranium 	 NumberInCluster: 2 	 PercentageInCluster: 0.035714
Genus: euphrasia 	 NumberInCluster: 7 	 PercentageInCluster: 0.437500
Genus: crataegus 	 NumberInCluster: 4 	 PercentageInCluster: 0.020513
Genus: elyleymus 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: corema 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cerastium 	 NumberInCluster: 5 	 PercentageInCluster: 0.111111
Genus: sambucus 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: astragalus 	 NumberInCluster: 2 	 PercentageInCluster: 0.003252
Genus: ranunculus 	 NumberInCluster: 2 	 PercentageInCluster: 0.014184
Genus: puccinellia 	 NumberInCluster: 3 	 PercentageInCluster: 0.078947
Genus: potentilla 	 NumberInCluster: 5 	 PercentageInCluster: 0.037313
Genus: trifolium 	 NumberInCluster: 1 	 PercentageInCluster: 0.006711
Genus: schedonorus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: draba 	 NumberInCluster: 4 	 PercentageInCluster: 0.026846
Genus: isoetes 	 NumberInCluster: 3 	 PercentageInCluster: 0.056604
Genus: dryopteris 	 NumberInCluster: 1 	 PercentageInCluster: 0.020408
Genus: arctium 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: geum 	 NumberInCluster: 3 	 PercentageInCluster: 0.088235
Genus: hosta 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: alyssum 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: mimulus 	 NumberInCluster: 1 	 PercentageInCluster: 0.008850
Genus: eriophorum 	 NumberInCluster: 4 	 PercentageInCluster: 0.117647
Genus: cochlearia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: carya 	 NumberInCluster: 1 	 PercentageInCluster: 0.045455
Genus: prenanthes 	 NumberInCluster: 1 	 PercentageInCluster: 0.058824
Genus: lycopus 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: papaver 	 NumberInCluster: 1 	 PercentageInCluster: 0.037037
Genus: elatine 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: phippsia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: nicotiana 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: saxifraga 	 NumberInCluster: 3 	 PercentageInCluster: 0.026786
Genus: clarkia 	 NumberInCluster: 1 	 PercentageInCluster: 0.013699
Genus: streptopus 	 NumberInCluster: 1 	 PercentageInCluster: 0.076923
Genus: rubus 	 NumberInCluster: 4 	 PercentageInCluster: 0.015504
Genus: lilium 	 NumberInCluster: 2 	 PercentageInCluster: 0.045455
Genus: atriplex 	 NumberInCluster: 3 	 PercentageInCluster: 0.025641
Genus: salix 	 NumberInCluster: 15 	 PercentageInCluster: 0.089286
Genus: centaurea 	 NumberInCluster: 2 	 PercentageInCluster: 0.055556
Genus: cephalaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: symphyotrichum 	 NumberInCluster: 5 	 PercentageInCluster: 0.034014
Genus: chaerophyllum 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: succisa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: inula 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: festuca 	 NumberInCluster: 1 	 PercentageInCluster: 0.016129
Genus: empetrum 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
