Cluster = 0
Cluster = 1
Genus: blennosperma 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: rhagadiolus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: senna 	 NumberInCluster: 3 	 PercentageInCluster: 0.058824
Genus: senecio 	 NumberInCluster: 13 	 PercentageInCluster: 0.151163
Genus: boykinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: dodecahema 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: fagonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: pittosporum 	 NumberInCluster: 3 	 PercentageInCluster: 0.166667
Genus: schinus 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: dendromecon 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: eriophyllum 	 NumberInCluster: 20 	 PercentageInCluster: 0.740741
Genus: delosperma 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: trichophorum 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: lithophragma 	 NumberInCluster: 9 	 PercentageInCluster: 0.692308
Genus: triteleia 	 NumberInCluster: 20 	 PercentageInCluster: 0.769231
Genus: dalea 	 NumberInCluster: 2 	 PercentageInCluster: 0.022472
Genus: arctotheca 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hypericum 	 NumberInCluster: 2 	 PercentageInCluster: 0.029851
Genus: melampodium 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: rorippa 	 NumberInCluster: 3 	 PercentageInCluster: 0.069767
Genus: viscum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: geranium 	 NumberInCluster: 9 	 PercentageInCluster: 0.160714
Genus: velezia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: myrica 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: festuca 	 NumberInCluster: 5 	 PercentageInCluster: 0.080645
Genus: bellardia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hydrocotyle 	 NumberInCluster: 1 	 PercentageInCluster: 0.076923
Genus: lavatera 	 NumberInCluster: 7 	 PercentageInCluster: 0.875000
Genus: linanthus 	 NumberInCluster: 10 	 PercentageInCluster: 0.500000
Genus: forestiera 	 NumberInCluster: 1 	 PercentageInCluster: 0.071429
Genus: goodmania 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: astragalus 	 NumberInCluster: 119 	 PercentageInCluster: 0.193496
Genus: verbena 	 NumberInCluster: 3 	 PercentageInCluster: 0.054545
Genus: carlquistia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cucumis 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: aponogeton 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: puccinellia 	 NumberInCluster: 2 	 PercentageInCluster: 0.052632
Genus: mesembryanthemum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: aspidotis 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: oncosiphon 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: piperia 	 NumberInCluster: 5 	 PercentageInCluster: 0.416667
Genus: mucronea 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: malosma 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: isoetes 	 NumberInCluster: 1 	 PercentageInCluster: 0.018868
Genus: lepidium 	 NumberInCluster: 17 	 PercentageInCluster: 0.178947
Genus: escallonia 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: asparagus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: tuctoria 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: agoseris 	 NumberInCluster: 3 	 PercentageInCluster: 0.136364
Genus: bryonia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: penstemon 	 NumberInCluster: 65 	 PercentageInCluster: 0.167526
Genus: lomatium 	 NumberInCluster: 30 	 PercentageInCluster: 0.265487
Genus: cleomella 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: tripterocalyx 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: monolopia 	 NumberInCluster: 5 	 PercentageInCluster: 1.000000
Genus: turricula 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: polygala 	 NumberInCluster: 7 	 PercentageInCluster: 0.087500
Genus: limnophila 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: herniaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
