Cluster = 0
Cluster = 1
Genus: ocimum 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: scleria 	 NumberInCluster: 10 	 PercentageInCluster: 0.333333
Genus: rajania 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hymenophyllum 	 NumberInCluster: 16 	 PercentageInCluster: 0.727273
Genus: pilosocereus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: persea 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: symplocos 	 NumberInCluster: 4 	 PercentageInCluster: 0.666667
Genus: callisia 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: pavonia 	 NumberInCluster: 3 	 PercentageInCluster: 0.428571
Genus: cananga 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: stylogyne 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: voyria 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: mikania 	 NumberInCluster: 7 	 PercentageInCluster: 0.777778
Genus: vernonia 	 NumberInCluster: 4 	 PercentageInCluster: 0.108108
Genus: senna 	 NumberInCluster: 13 	 PercentageInCluster: 0.254902
Genus: salmea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: piscidia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: ctenitis 	 NumberInCluster: 3 	 PercentageInCluster: 0.375000
Genus: pitcairnia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: dillenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: pleodendron 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: marsypianthes 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: dicliptera 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: dalea 	 NumberInCluster: 1 	 PercentageInCluster: 0.011236
Genus: hypoderris 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hypericum 	 NumberInCluster: 1 	 PercentageInCluster: 0.014925
Genus: schradera 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hyeronima 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: rorippa 	 NumberInCluster: 1 	 PercentageInCluster: 0.023256
Genus: congea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: fioria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: pachystachys 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bastardia 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: casuarina 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: hernandia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cleyera 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: megalastrum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: homalium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: urochloa 	 NumberInCluster: 3 	 PercentageInCluster: 0.142857
Genus: pera 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: eleutherine 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hirtella 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: hedyosmum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ranunculus 	 NumberInCluster: 1 	 PercentageInCluster: 0.007092
Genus: alpinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: curcuma 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: microgramma 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: kaempferia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: anemia 	 NumberInCluster: 3 	 PercentageInCluster: 0.500000
Genus: saritaea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: lepidium 	 NumberInCluster: 1 	 PercentageInCluster: 0.010526
Genus: sclerocarpus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: zephyranthes 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: cestrum 	 NumberInCluster: 3 	 PercentageInCluster: 0.375000
Genus: piriqueta 	 NumberInCluster: 3 	 PercentageInCluster: 0.600000
Genus: acnistus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ceiba 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: piptocarpha 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hyptis 	 NumberInCluster: 4 	 PercentageInCluster: 0.333333
Genus: scaphyglottis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: lellingeria 	 NumberInCluster: 3 	 PercentageInCluster: 0.750000
Genus: grammitis 	 NumberInCluster: 9 	 PercentageInCluster: 0.642857
Genus: polystichum 	 NumberInCluster: 5 	 PercentageInCluster: 0.166667
Genus: craniolaria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: prestoea 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
