Cluster = 0
Genus: blennosperma 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: rhagadiolus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: senna 	 NumberInCluster: 3 	 PercentageInCluster: 0.058824
Genus: senecio 	 NumberInCluster: 12 	 PercentageInCluster: 0.139535
Genus: boykinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: dodecahema 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: fagonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: pittosporum 	 NumberInCluster: 4 	 PercentageInCluster: 0.222222
Genus: schinus 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: dendromecon 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: eriophyllum 	 NumberInCluster: 18 	 PercentageInCluster: 0.666667
Genus: delosperma 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: trichophorum 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: lithophragma 	 NumberInCluster: 5 	 PercentageInCluster: 0.384615
Genus: triteleia 	 NumberInCluster: 11 	 PercentageInCluster: 0.423077
Genus: corymbia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: dalea 	 NumberInCluster: 2 	 PercentageInCluster: 0.022472
Genus: arctotheca 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hypericum 	 NumberInCluster: 3 	 PercentageInCluster: 0.044776
Genus: melampodium 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: rorippa 	 NumberInCluster: 2 	 PercentageInCluster: 0.046512
Genus: viscum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: geranium 	 NumberInCluster: 9 	 PercentageInCluster: 0.160714
Genus: velezia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: myrica 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: festuca 	 NumberInCluster: 2 	 PercentageInCluster: 0.032258
Genus: bellardia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hydrocotyle 	 NumberInCluster: 1 	 PercentageInCluster: 0.076923
Genus: linanthus 	 NumberInCluster: 10 	 PercentageInCluster: 0.500000
Genus: forestiera 	 NumberInCluster: 1 	 PercentageInCluster: 0.071429
Genus: goodmania 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: verbena 	 NumberInCluster: 3 	 PercentageInCluster: 0.054545
Genus: carlquistia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cucumis 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: aponogeton 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: puccinellia 	 NumberInCluster: 3 	 PercentageInCluster: 0.078947
Genus: mesembryanthemum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: aspidotis 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: oncosiphon 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: triphysaria 	 NumberInCluster: 2 	 PercentageInCluster: 0.222222
Genus: mucronea 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: malosma 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: isoetes 	 NumberInCluster: 1 	 PercentageInCluster: 0.018868
Genus: lepidium 	 NumberInCluster: 16 	 PercentageInCluster: 0.168421
Genus: ptelea 	 NumberInCluster: 1 	 PercentageInCluster: 0.071429
Genus: asparagus 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: tuctoria 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: bryonia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: penstemon 	 NumberInCluster: 53 	 PercentageInCluster: 0.136598
Genus: lomatium 	 NumberInCluster: 25 	 PercentageInCluster: 0.221239
Genus: cleomella 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: tripterocalyx 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: monolopia 	 NumberInCluster: 5 	 PercentageInCluster: 1.000000
Genus: turricula 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: polygala 	 NumberInCluster: 5 	 PercentageInCluster: 0.062500
Genus: limnophila 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: lamiastrum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: smelowskia 	 NumberInCluster: 1 	 PercentageInCluster: 0.062500
Genus: bursera 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
