Cluster = 0
Cluster = 1
Genus: senna 	 NumberInCluster: 6 	 PercentageInCluster: 0.117647
Genus: senecio 	 NumberInCluster: 2 	 PercentageInCluster: 0.023256
Genus: clematis 	 NumberInCluster: 2 	 PercentageInCluster: 0.037736
Genus: lespedeza 	 NumberInCluster: 2 	 PercentageInCluster: 0.071429
Genus: brazoria 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: pavonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: solidago 	 NumberInCluster: 6 	 PercentageInCluster: 0.041667
Genus: schoenolirion 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: manfreda 	 NumberInCluster: 4 	 PercentageInCluster: 0.800000
Genus: neptunia 	 NumberInCluster: 4 	 PercentageInCluster: 0.666667
Genus: cardiospermum 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: hexalectris 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: sabatia 	 NumberInCluster: 2 	 PercentageInCluster: 0.090909
Genus: dalea 	 NumberInCluster: 20 	 PercentageInCluster: 0.224719
Genus: hypericum 	 NumberInCluster: 1 	 PercentageInCluster: 0.014925
Genus: melampodium 	 NumberInCluster: 4 	 PercentageInCluster: 0.400000
Genus: rorippa 	 NumberInCluster: 1 	 PercentageInCluster: 0.023256
Genus: willkommia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bastardia 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: trixis 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: callisia 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: onosmodium 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: tradescantia 	 NumberInCluster: 16 	 PercentageInCluster: 0.380952
Genus: coryphantha 	 NumberInCluster: 5 	 PercentageInCluster: 0.416667
Genus: urochloa 	 NumberInCluster: 2 	 PercentageInCluster: 0.095238
Genus: schinus 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: tridens 	 NumberInCluster: 3 	 PercentageInCluster: 0.214286
Genus: cucumis 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: synthlipsis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: plateilema 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: stylisma 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: herbertia 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: anemia 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: sclerocarpus 	 NumberInCluster: 3 	 PercentageInCluster: 0.750000
Genus: geum 	 NumberInCluster: 1 	 PercentageInCluster: 0.029412
Genus: ptelea 	 NumberInCluster: 1 	 PercentageInCluster: 0.071429
Genus: triraphis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: penstemon 	 NumberInCluster: 10 	 PercentageInCluster: 0.025773
Genus: psilactis 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: lomatium 	 NumberInCluster: 1 	 PercentageInCluster: 0.008850
Genus: ostrya 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: varilla 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: nymphaea 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: bahia 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: echeandia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: lantana 	 NumberInCluster: 2 	 PercentageInCluster: 0.095238
Genus: habranthus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: vernonia 	 NumberInCluster: 5 	 PercentageInCluster: 0.135135
Genus: amblyolepis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: purshia 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: bothriochloa 	 NumberInCluster: 5 	 PercentageInCluster: 0.294118
Genus: leptopus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: vaseyochloa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
