Cluster = 0
Genus: senna 	 NumberInCluster: 3 	 PercentageInCluster: 0.058824
Genus: senecio 	 NumberInCluster: 8 	 PercentageInCluster: 0.093023
Genus: fagonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: eriophyllum 	 NumberInCluster: 4 	 PercentageInCluster: 0.148148
Genus: hexalectris 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: triteleia 	 NumberInCluster: 1 	 PercentageInCluster: 0.038462
Genus: dicliptera 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: dalea 	 NumberInCluster: 16 	 PercentageInCluster: 0.179775
Genus: dimorphocarpa 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: argyrochosma 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: melampodium 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: rorippa 	 NumberInCluster: 1 	 PercentageInCluster: 0.023256
Genus: trichoptilium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: geranium 	 NumberInCluster: 1 	 PercentageInCluster: 0.017857
Genus: dimorphotheca 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: tithonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: hyptis 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: tradescantia 	 NumberInCluster: 1 	 PercentageInCluster: 0.023810
Genus: coryphantha 	 NumberInCluster: 2 	 PercentageInCluster: 0.166667
Genus: stachys 	 NumberInCluster: 1 	 PercentageInCluster: 0.023810
Genus: verbena 	 NumberInCluster: 4 	 PercentageInCluster: 0.072727
Genus: crusea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: mesembryanthemum 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: ptelea 	 NumberInCluster: 3 	 PercentageInCluster: 0.214286
Genus: penstemon 	 NumberInCluster: 33 	 PercentageInCluster: 0.085052
Genus: psilactis 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: lomatium 	 NumberInCluster: 4 	 PercentageInCluster: 0.035398
Genus: cleomella 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: bahia 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: polygala 	 NumberInCluster: 4 	 PercentageInCluster: 0.050000
Genus: bursera 	 NumberInCluster: 3 	 PercentageInCluster: 0.750000
Genus: purshia 	 NumberInCluster: 3 	 PercentageInCluster: 0.428571
Genus: conioselinum 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: allionia 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: sebastiania 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: phacelia 	 NumberInCluster: 26 	 PercentageInCluster: 0.115556
Genus: baccharis 	 NumberInCluster: 1 	 PercentageInCluster: 0.040000
Genus: erythrina 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: argythamnia 	 NumberInCluster: 7 	 PercentageInCluster: 0.291667
Genus: setariopsis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: scrophularia 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: sicyos 	 NumberInCluster: 1 	 PercentageInCluster: 0.050000
Genus: castalis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: perityle 	 NumberInCluster: 13 	 PercentageInCluster: 0.270833
Genus: echinocereus 	 NumberInCluster: 14 	 PercentageInCluster: 0.245614
Genus: amoreuxia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: pisonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: aletes 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: gaillardia 	 NumberInCluster: 3 	 PercentageInCluster: 0.130435
Genus: gentianopsis 	 NumberInCluster: 1 	 PercentageInCluster: 0.066667
Genus: nissolia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: sedum 	 NumberInCluster: 1 	 PercentageInCluster: 0.013889
Genus: stevia 	 NumberInCluster: 6 	 PercentageInCluster: 0.600000
Genus: grusonia 	 NumberInCluster: 3 	 PercentageInCluster: 0.375000
Genus: calochortus 	 NumberInCluster: 1 	 PercentageInCluster: 0.012821
Genus: scutellaria 	 NumberInCluster: 3 	 PercentageInCluster: 0.039474
Genus: delphinium 	 NumberInCluster: 4 	 PercentageInCluster: 0.037736
Genus: quercus 	 NumberInCluster: 4 	 PercentageInCluster: 0.017391
Genus: ivesia 	 NumberInCluster: 3 	 PercentageInCluster: 0.069767
Genus: mentzelia 	 NumberInCluster: 11 	 PercentageInCluster: 0.125000
Genus: eysenhardtia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: eriogonum 	 NumberInCluster: 41 	 PercentageInCluster: 0.094037
Genus: cryptantha 	 NumberInCluster: 15 	 PercentageInCluster: 0.107143
Genus: petalonyx 	 NumberInCluster: 4 	 PercentageInCluster: 0.666667
Genus: arctostaphylos 	 NumberInCluster: 1 	 PercentageInCluster: 0.008547
Genus: phaseolus 	 NumberInCluster: 4 	 PercentageInCluster: 0.222222
Genus: aralia 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: myosurus 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: macroptilium 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: paspalum 	 NumberInCluster: 1 	 PercentageInCluster: 0.015873
Genus: machaeranthera 	 NumberInCluster: 10 	 PercentageInCluster: 0.204082
Genus: chimaphila 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: sisyrinchium 	 NumberInCluster: 4 	 PercentageInCluster: 0.088889
Genus: loeflingia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: stanleya 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: tephrosia 	 NumberInCluster: 2 	 PercentageInCluster: 0.083333
Genus: hemizonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.071429
Genus: zornia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: osmorhiza 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: populus 	 NumberInCluster: 2 	 PercentageInCluster: 0.066667
Genus: diodia 	 NumberInCluster: 1 	 PercentageInCluster: 0.062500
Genus: pectis 	 NumberInCluster: 3 	 PercentageInCluster: 0.120000
Genus: fingerhuthia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: olneya 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: parkinsonia 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: cirsium 	 NumberInCluster: 14 	 PercentageInCluster: 0.126126
Genus: linanthus 	 NumberInCluster: 1 	 PercentageInCluster: 0.050000
Genus: symphyotrichum 	 NumberInCluster: 1 	 PercentageInCluster: 0.006803
Genus: lobelia 	 NumberInCluster: 3 	 PercentageInCluster: 0.040000
Genus: colubrina 	 NumberInCluster: 1 	 PercentageInCluster: 0.066667
Genus: gentianella 	 NumberInCluster: 3 	 PercentageInCluster: 0.166667
Genus: chamaesyce 	 NumberInCluster: 7 	 PercentageInCluster: 0.058824
Genus: buchnera 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: eragrostis 	 NumberInCluster: 2 	 PercentageInCluster: 0.029412
Genus: anemone 	 NumberInCluster: 1 	 PercentageInCluster: 0.020833
Genus: xylorhiza 	 NumberInCluster: 1 	 PercentageInCluster: 0.076923
Genus: pseudognaphalium 	 NumberInCluster: 2 	 PercentageInCluster: 0.060606
Genus: malaxis 	 NumberInCluster: 2 	 PercentageInCluster: 0.142857
Genus: datura 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: hymenoxys 	 NumberInCluster: 8 	 PercentageInCluster: 0.333333
Genus: frangula 	 NumberInCluster: 2 	 PercentageInCluster: 0.090909
Genus: grindelia 	 NumberInCluster: 2 	 PercentageInCluster: 0.036364
Genus: tetracoccus 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: toxicodendron 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: vaccinium 	 NumberInCluster: 1 	 PercentageInCluster: 0.022222
Genus: crassula 	 NumberInCluster: 3 	 PercentageInCluster: 0.200000
Genus: glossopetalon 	 NumberInCluster: 2 	 PercentageInCluster: 0.222222
Genus: diphysa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: galactia 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: bidens 	 NumberInCluster: 5 	 PercentageInCluster: 0.070423
Genus: dactyloctenium 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: acalypha 	 NumberInCluster: 2 	 PercentageInCluster: 0.083333
Genus: marah 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: koeberlinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: callaeum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: juncus 	 NumberInCluster: 4 	 PercentageInCluster: 0.023529
Genus: vicia 	 NumberInCluster: 2 	 PercentageInCluster: 0.043478
Genus: condalia 	 NumberInCluster: 4 	 PercentageInCluster: 0.333333
Genus: hieracium 	 NumberInCluster: 5 	 PercentageInCluster: 0.061728
Genus: primula 	 NumberInCluster: 2 	 PercentageInCluster: 0.068966
Genus: vanclevea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cordylanthus 	 NumberInCluster: 4 	 PercentageInCluster: 0.090909
Genus: cocculus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: palafoxia 	 NumberInCluster: 1 	 PercentageInCluster: 0.055556
Genus: ephedra 	 NumberInCluster: 3 	 PercentageInCluster: 0.166667
Genus: minuartia 	 NumberInCluster: 2 	 PercentageInCluster: 0.047619
Genus: encelia 	 NumberInCluster: 4 	 PercentageInCluster: 0.400000
Genus: ammoselinum 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: salvia 	 NumberInCluster: 11 	 PercentageInCluster: 0.129412
Genus: nemacaulis 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: tripsacum 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: oxalis 	 NumberInCluster: 3 	 PercentageInCluster: 0.076923
Genus: pediomelum 	 NumberInCluster: 5 	 PercentageInCluster: 0.178571
Genus: hypoxis 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: cerastium 	 NumberInCluster: 4 	 PercentageInCluster: 0.088889
Genus: dryopteris 	 NumberInCluster: 2 	 PercentageInCluster: 0.040816
Genus: pteryxia 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: cathestecum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: psoralidium 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: potentilla 	 NumberInCluster: 13 	 PercentageInCluster: 0.097015
Genus: pseudorontium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: draba 	 NumberInCluster: 12 	 PercentageInCluster: 0.080537
Genus: nama 	 NumberInCluster: 3 	 PercentageInCluster: 0.107143
Genus: pellaea 	 NumberInCluster: 2 	 PercentageInCluster: 0.080000
Genus: mimulus 	 NumberInCluster: 1 	 PercentageInCluster: 0.008850
Genus: claytonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.017857
Genus: cologania 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: mertensia 	 NumberInCluster: 1 	 PercentageInCluster: 0.031250
Genus: sida 	 NumberInCluster: 1 	 PercentageInCluster: 0.034483
Genus: flaveria 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: chamaecrista 	 NumberInCluster: 4 	 PercentageInCluster: 0.114286
Genus: lilium 	 NumberInCluster: 1 	 PercentageInCluster: 0.022727
Genus: evolvulus 	 NumberInCluster: 1 	 PercentageInCluster: 0.066667
Genus: cyperus 	 NumberInCluster: 8 	 PercentageInCluster: 0.055172
Genus: arenaria 	 NumberInCluster: 2 	 PercentageInCluster: 0.033333
Genus: heteranthera 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: leptosiphon 	 NumberInCluster: 4 	 PercentageInCluster: 0.097561
Genus: apiastrum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ribes 	 NumberInCluster: 2 	 PercentageInCluster: 0.020833
Genus: leymus 	 NumberInCluster: 1 	 PercentageInCluster: 0.043478
Genus: hesperoyucca 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: aeluropus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: panicum 	 NumberInCluster: 5 	 PercentageInCluster: 0.060976
Genus: festuca 	 NumberInCluster: 1 	 PercentageInCluster: 0.016129
Genus: astragalus 	 NumberInCluster: 91 	 PercentageInCluster: 0.147967
Genus: lepidium 	 NumberInCluster: 5 	 PercentageInCluster: 0.052632
Genus: sorbus 	 NumberInCluster: 1 	 PercentageInCluster: 0.062500
Genus: euphorbia 	 NumberInCluster: 5 	 PercentageInCluster: 0.056818
Genus: saxifraga 	 NumberInCluster: 1 	 PercentageInCluster: 0.008929
Genus: escobaria 	 NumberInCluster: 8 	 PercentageInCluster: 0.242424
Genus: phoradendron 	 NumberInCluster: 2 	 PercentageInCluster: 0.080000
Genus: spiranthes 	 NumberInCluster: 1 	 PercentageInCluster: 0.027778
